nome_aluno,sexo_aluno,idade_aluno,escola_aluno,escolaridade_aluno,curso,professor,data_matricula,concluiu_curso,respostas_corretas,avaliacao_curso
Letícia Costa Carvalho,Feminino,16,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,27/11/2024,True,88,4
Lucas Almeida Pereira,Masculino,20,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,26/11/2023,False,43,2
Ana Gomes Oliveira,Feminino,17,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,20/05/2024,False,22,5
Lucas Souza Rodrigues,Masculino,21,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,09/02/2024,True,89,3
Ana Souza Carvalho,Feminino,17,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,18/11/2023,True,94,2
João Almeida Gomes,Masculino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,28/10/2024,True,92,5
Isabela Carvalho Almeida,Feminino,16,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,29/07/2024,False,78,5
Pedro Almeida Almeida,Masculino,20,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,04/03/2024,True,72,2
Carlos Gomes Almeida,Masculino,16,Ceep Paulo Ferraz,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,04/05/2024,True,73,4
Gabriel Silva Oliveira,Masculino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,22/01/2025,False,34,2
João Rodrigues Souza,Masculino,16,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,17/11/2023,True,70,2
Gabriel Pereira Pereira,Masculino,16,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,16/11/2024,False,3,3
Patrícia Costa Silva,Feminino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,26/02/2024,True,98,5
Antônio Rodrigues Santos,Masculino,17,Ceep Paulo Ferraz,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,19/09/2024,False,36,2
Amanda Souza Gomes,Feminino,19,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,23/04/2024,True,79,5
Gabriel Costa Santos,Masculino,20,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,03/07/2023,True,72,5
João Souza Costa,Masculino,18,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,14/08/2024,True,75,1
Carlos Almeida Rodrigues,Masculino,20,Ceep Paulo Ferraz,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,06/09/2024,True,75,4
Carlos Carvalho Rodrigues,Masculino,15,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,08/03/2023,True,87,5
Daniel Silva Gomes,Masculino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,15/10/2023,True,97,2
Rafael Rodrigues Oliveira,Masculino,19,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,24/02/2024,True,95,3
Carlos Pereira Souza,Masculino,18,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,26/01/2024,True,89,3
Antônio Rodrigues Costa,Masculino,21,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,13/09/2023,False,22,4
Antônio Costa Costa,Masculino,15,Ceep Paulo Ferraz,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,15/12/2023,False,2,4
Juliana Carvalho Carvalho,Feminino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,06/05/2024,False,1,3
Isabela Rodrigues Pereira,Feminino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,26/04/2024,True,71,3
Antônio Carvalho Souza,Masculino,15,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,20/05/2023,True,100,4
Camila Gomes Rodrigues,Feminino,20,Ceep Paulo Ferraz,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,05/04/2024,True,89,4
Maria Rodrigues Santos,Feminino,18,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,21/08/2024,True,97,3
Ana Santos Silva,Feminino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,16/04/2023,True,85,5
Fernanda Costa Silva,Feminino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,15/01/2025,True,100,1
Rafael Almeida Pereira,Masculino,17,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,18/10/2023,True,100,4
Isabela Carvalho Costa,Feminino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,23/10/2024,True,83,4
Marcos Costa Pereira,Masculino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,28/07/2024,True,85,5
Fernando Almeida Santos,Masculino,17,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,27/02/2023,False,87,5
Beatriz Rodrigues Oliveira,Feminino,21,Ceep Paulo Ferraz,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,15/03/2023,True,94,5
Isabela Souza Rodrigues,Feminino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,20/07/2023,True,81,3
João Santos Oliveira,Masculino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,28/03/2023,False,78,5
Gabriel Carvalho Costa,Masculino,16,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,25/12/2023,True,94,4
Rafael Costa Rodrigues,Masculino,16,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,09/08/2023,True,91,3
Fernanda Carvalho Gomes,Feminino,18,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,18/04/2023,True,91,5
Carlos Costa Almeida,Masculino,20,Ceep Paulo Ferraz,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,01/01/2025,False,6,4
Pedro Almeida Pereira,Masculino,17,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,14/03/2024,True,83,5
Patrícia Rodrigues Almeida,Feminino,19,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,20/09/2024,False,70,5
Beatriz Pereira Almeida,Feminino,21,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,27/10/2024,True,79,5
Juliana Gomes Costa,Feminino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,17/09/2023,False,3,5
Marcos Rodrigues Almeida,Masculino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,26/01/2023,True,74,1
Fernanda Almeida Costa,Feminino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,24/07/2023,True,72,4
Patrícia Souza Silva,Feminino,19,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,20/10/2024,False,73,5
Rafael Costa Rodrigues,Masculino,17,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,01/02/2025,True,78,4
Fernanda Costa Souza,Feminino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,26/02/2024,True,71,5
João Pereira Almeida,Masculino,15,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,03/03/2023,False,39,4
Fernanda Santos Santos,Feminino,19,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,24/03/2023,True,73,5
Letícia Souza Almeida,Feminino,21,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,20/03/2023,True,79,4
Ana Carvalho Rodrigues,Feminino,19,Ceep Paulo Ferraz,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,07/01/2025,True,88,4
Letícia Oliveira Gomes,Feminino,15,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,13/01/2024,True,89,4
Antônio Gomes Santos,Masculino,17,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,09/12/2024,True,93,3
Marcos Rodrigues Pereira,Masculino,21,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,07/05/2024,True,89,4
Lucas Santos Pereira,Masculino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,01/04/2023,True,82,1
Camila Almeida Souza,Feminino,16,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,09/04/2024,False,64,4
Beatriz Pereira Pereira,Feminino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,02/12/2023,True,79,2
Carlos Carvalho Almeida,Masculino,20,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,04/07/2024,False,87,5
Fernanda Pereira Almeida,Feminino,18,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,03/04/2023,False,46,2
João Oliveira Costa,Masculino,19,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,04/03/2024,False,68,5
Patrícia Gomes Carvalho,Feminino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,11/12/2024,True,87,5
Isabela Gomes Silva,Feminino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,24/06/2023,False,70,5
Amanda Carvalho Santos,Feminino,18,Ceep Paulo Ferraz,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,09/08/2023,True,100,5
Gabriel Carvalho Gomes,Masculino,15,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,20/07/2023,False,8,5
Patrícia Pereira Oliveira,Feminino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,10/06/2023,True,89,5
Patrícia Silva Gomes,Feminino,20,U E de Ensino Médio Vila Maria,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,11/06/2024,True,85,5
Ana Santos Pereira,Feminino,20,Ceep Paulo Ferraz,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,13/09/2023,True,98,5
Patrícia Silva Santos,Feminino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,02/03/2023,False,37,1
Letícia Santos Santos,Feminino,15,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,20/09/2024,True,91,5
Beatriz Rodrigues Rodrigues,Feminino,16,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,07/11/2023,True,87,5
Daniel Gomes Santos,Masculino,16,Ceep Paulo Ferraz,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,06/06/2023,True,79,5
João Rodrigues Santos,Masculino,20,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,07/12/2024,True,70,2
Lucas Pereira Oliveira,Masculino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,02/07/2024,True,96,4
Lucas Santos Almeida,Masculino,17,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,27/10/2024,False,79,4
Juliana Silva Carvalho,Feminino,16,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,09/08/2024,False,90,2
João Costa Gomes,Masculino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,13/05/2023,False,70,5
Carlos Oliveira Oliveira,Masculino,15,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,26/07/2024,True,85,5
Patrícia Carvalho Almeida,Feminino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,30/10/2023,True,98,5
Fernando Carvalho Silva,Masculino,20,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,25/01/2024,True,87,1
Gabriel Silva Rodrigues,Masculino,21,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,27/09/2023,True,95,4
Maria Gomes Silva,Feminino,17,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,06/02/2024,False,33,3
Rafael Costa Costa,Masculino,18,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,26/07/2024,True,86,5
Fernanda Costa Rodrigues,Feminino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,30/07/2023,True,100,2
Lucas Gomes Silva,Masculino,15,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,27/01/2024,True,78,4
Beatriz Santos Gomes,Feminino,19,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,18/01/2023,True,73,5
Letícia Gomes Costa,Feminino,20,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,12/11/2023,True,92,5
Beatriz Gomes Silva,Feminino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,12/05/2023,True,88,4
Rafael Almeida Souza,Masculino,20,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,10/05/2023,True,82,4
Letícia Carvalho Rodrigues,Feminino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,25/01/2024,True,74,4
Fernando Carvalho Oliveira,Masculino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,02/01/2023,False,14,4
Carlos Costa Souza,Masculino,15,Ceep Paulo Ferraz,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,02/07/2024,False,87,5
Beatriz Rodrigues Almeida,Feminino,19,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,28/11/2023,False,28,4
Camila Gomes Costa,Feminino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,31/05/2023,True,81,5
Marcos Costa Costa,Masculino,20,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,30/05/2024,False,62,3
Camila Santos Santos,Feminino,20,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,31/01/2024,True,99,3
Amanda Santos Santos,Feminino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,21/09/2023,True,78,5
Amanda Santos Costa,Feminino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,25/04/2023,True,84,4
Patrícia Silva Silva,Feminino,19,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,08/07/2023,True,73,4
João Santos Costa,Masculino,19,Ceep Paulo Ferraz,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,15/10/2023,True,86,3
Gabriel Gomes Oliveira,Masculino,18,Ceep Paulo Ferraz,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,19/02/2023,True,86,5
Maria Santos Carvalho,Feminino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,21/07/2023,False,70,1
Patrícia Almeida Souza,Feminino,17,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,12/05/2024,True,81,4
Fernanda Silva Costa,Feminino,16,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,11/02/2023,True,83,4
Fernanda Oliveira Almeida,Feminino,16,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,09/02/2024,False,38,5
Pedro Gomes Oliveira,Masculino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,31/03/2024,False,87,3
Maria Oliveira Santos,Feminino,17,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,09/09/2023,False,86,4
Amanda Carvalho Oliveira,Feminino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,02/03/2024,True,100,5
Beatriz Carvalho Pereira,Feminino,17,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,01/04/2024,True,94,5
Amanda Santos Gomes,Feminino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,08/03/2023,True,81,4
Daniel Pereira Pereira,Masculino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,30/07/2023,True,83,5
Antônio Souza Carvalho,Masculino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,06/10/2023,True,83,4
Isabela Silva Almeida,Feminino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,12/01/2025,True,90,5
Gabriel Souza Rodrigues,Masculino,19,Ceep Paulo Ferraz,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,11/12/2023,False,72,3
João Gomes Pereira,Masculino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,19/02/2024,False,88,3
Fernando Souza Costa,Masculino,19,Ceep Paulo Ferraz,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,22/02/2023,True,73,2
Camila Almeida Almeida,Feminino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,04/09/2023,True,96,5
Letícia Almeida Oliveira,Feminino,16,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,27/05/2024,True,78,2
Camila Almeida Pereira,Feminino,15,Ceep Paulo Ferraz,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,23/04/2024,True,91,4
Lucas Carvalho Costa,Masculino,17,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,12/05/2024,False,38,5
Letícia Santos Rodrigues,Feminino,18,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,26/09/2023,True,73,5
Juliana Souza Souza,Feminino,20,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,02/01/2023,True,84,2
Isabela Almeida Santos,Feminino,17,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,07/01/2025,False,88,3
Ana Carvalho Costa,Feminino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,14/06/2024,False,63,5
Fernanda Silva Santos,Feminino,18,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,14/04/2023,True,84,4
João Santos Almeida,Masculino,20,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,09/08/2024,False,34,4
Letícia Rodrigues Gomes,Feminino,16,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,27/11/2024,True,98,5
Fernando Gomes Souza,Masculino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,16/02/2024,True,81,5
Beatriz Souza Costa,Feminino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,15/05/2024,True,74,2
Gabriel Santos Souza,Masculino,16,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,18/09/2024,True,78,3
Camila Oliveira Almeida,Feminino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,19/02/2024,False,28,4
Beatriz Santos Pereira,Feminino,19,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,11/11/2024,True,84,5
Fernando Rodrigues Costa,Masculino,19,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,09/06/2024,True,97,4
Patrícia Almeida Gomes,Feminino,17,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,02/06/2024,False,66,4
Pedro Oliveira Oliveira,Masculino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,03/10/2024,True,80,5
Ana Santos Gomes,Feminino,18,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,25/09/2024,False,50,5
Beatriz Pereira Pereira,Feminino,18,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,19/01/2024,True,80,3
Pedro Carvalho Santos,Masculino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,07/08/2023,True,84,3
Fernando Oliveira Silva,Masculino,16,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,31/03/2024,False,92,4
Ana Carvalho Pereira,Feminino,21,Ceep Paulo Ferraz,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,27/01/2024,True,75,1
Gabriel Carvalho Souza,Masculino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,03/03/2023,False,14,3
Antônio Souza Rodrigues,Masculino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,08/05/2024,False,50,5
Beatriz Silva Gomes,Feminino,15,Ceep Paulo Ferraz,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,22/04/2023,False,30,5
Juliana Gomes Costa,Feminino,15,Ceep Paulo Ferraz,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,06/12/2024,False,81,4
Marcos Oliveira Silva,Masculino,17,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,20/02/2023,True,73,4
João Souza Oliveira,Masculino,18,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,20/09/2023,True,84,3
Rafael Silva Costa,Masculino,20,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,01/02/2024,False,32,5
Daniel Almeida Silva,Masculino,16,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,08/11/2024,False,90,5
Maria Santos Carvalho,Feminino,15,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,10/08/2024,True,82,5
Daniel Rodrigues Almeida,Masculino,15,Ceep Paulo Ferraz,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,01/05/2023,False,31,2
Rafael Oliveira Costa,Masculino,16,Ceep Paulo Ferraz,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,28/06/2023,True,88,5
Antônio Carvalho Almeida,Masculino,17,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,09/09/2024,True,94,5
Antônio Pereira Souza,Masculino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,23/02/2024,True,77,5
Ana Almeida Pereira,Feminino,17,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,07/12/2024,False,15,1
Pedro Pereira Silva,Masculino,21,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,08/09/2023,True,88,4
